fighter_id,name,height,weight,age,dob,gender,weight_class,reach,stance,style,gym,country
5290796,Ramiro Jimenez,175.26,65.32,26.0,1999-01-16,male,featherweight,185.42,southpaw,,the goat shed,mexico
4801725,Dione Barbosa,167.64,56.7,33.0,1992-05-08,female,womens-flyweight,167.64,orthodox,mixed martial artist,kings mma,brazil
5287948,Neemias Santana,187.96,84.37,29.0,1996-07-10,male,middleweight,193.04,orthodox,,team lucas mineiro,brazil
5264471,Jimmy Drago,177.8,77.11,30.0,1995-02-18,male,welterweight,180.34,orthodox,,ataque duplo ,usa
5149437,Murtaza Talha,182.88,84.37,29.0,1996-07-10,male,middleweight,187.96,orthodox,,khk mma team,bahrain
5265556,Radley da Silva,175.26,65.77,30.0,1995-06-20,male,featherweight,180.34,orthodox,,axe capoeira vancouver,canada
5147207,Yuri Panferov,185.42,84.37,29.0,1996-08-30,male,middleweight,184.15,orthodox,,ultimate mma,russia
4290956,Anthony Hernandez,182.88,84.37,31.0,1993-10-18,male,middleweight,190.5,orthodox,brazilian jiu-jitsu,mmagold fight team,usa
4424224,Ode' Osbourne,170.18,61.23,33.0,1992-01-09,male,bantamweight,185.42,southpaw,mixed martial artist,bkmma,jamaica
4875511,Christian Rodriguez,170.18,66.22,27.0,1997-12-17,male,featherweight,181.61,orthodox,freestyle,roufusport,mexico
5149439,Jean Matsumoto,167.64,61.69,26.0,1999-09-09,male,bantamweight,172.72,orthodox,mixed martial artist,inside muay thai,brazil
4867356,Chris Duncan,177.8,70.76,32.0,1993-05-10,male,lightweight,180.34,orthodox,mixed martial artist,american top team,scotland
5074131,Esteban Ribovics,177.8,70.31,29.0,1996-04-27,male,lightweight,175.26,orthodox,striker,kill cliff fc,argentina
5145681,Kevin Vallejos,170.18,66.22,23.0,2001-12-08,male,featherweight,172.72,switch,,brothers of life mma,argentina
5211225,Andrey Pulyaev,193.04,83.91,28.0,1997-09-10,male,middleweight,198.12,southpaw,,storm shlemenko fight team,russia
4426305,Steven Nguyen,180.34,65.77,32.0,1993-05-19,male,featherweight,185.42,switch,striker,fortis mma,usa
4426312,Daniel Rodriguez,185.42,77.11,38.0,1986-12-31,male,welterweight,187.96,southpaw,freestyle,10th planet jiu-jitsu,usa
4863327,Daniel Zellhuber,185.42,70.76,26.0,1999-07-07,male,lightweight,195.58,switch,freestyle,xtreme couture,mexico
4884877,Vinicius Oliveira,175.26,61.69,29.0,1995-11-30,male,bantamweight,179.07,switch,mixed martial artist,sombra team mma,brazil
5212748,Islam Dulatov,190.5,77.56,27.0,1998-08-02,male,welterweight,190.5,orthodox,,american top team,germany
4710386,Lukasz Brzeski,190.5,109.77,33.0,1992-05-17,male,heavyweight,198.12,orthodox,striker,raion fight club,poland
4239113,Nicolle Caliari,160.02,57.15,28.0,1996-11-04,female,womens-flyweight,157.48,orthodox,,thai brasil,brazil
5212856,Tallison Teixeira,200.66,117.48,25.0,1999-12-07,male,heavyweight,210.82,orthodox,,team lucas mineiro,brazil
4921516,Gabriel Bonfim,185.42,77.56,28.0,1997-08-20,male,welterweight,184.15,orthodox,mixed martial artist,cerrado mma,brazil
3023804,Steve Garcia,182.88,66.22,33.0,1992-05-22,male,featherweight,190.5,southpaw,striker,jackson-wink mma,usa
2223033,Austen Lane,198.12,111.13,37.0,1987-11-09,male,heavyweight,203.2,orthodox,mixed martial artist,bulldog boxing,usa
2984770,Chris Curtis,177.8,77.11,38.0,1987-07-15,male,welterweight,191.77,orthodox,striker,xtreme couture,usa
2959422,Chidi Njokuani,190.5,77.56,36.0,1988-12-31,male,welterweight,203.2,orthodox,striker,janjira muay thai,usa
5143888,Eduarda Moura,167.64,57.15,31.0,1994-02-28,female,womens-flyweight,167.64,orthodox,wrestling,galpao da luta,brazil
4339145,Mike Davis,182.88,70.31,32.0,1992-10-07,male,lightweight,184.15,orthodox,mixed martial artist,fusion x-cel,usa
4877915,Viacheslav Borshchev,180.34,70.31,33.0,1992-01-08,male,lightweight,175.26,orthodox,striker,team alpha male,russia
5149961,Jacobe Smith,187.96,77.11,29.0,1996-01-17,male,welterweight,182.88,southpaw,,fortis mma,usa
4038116,Ignacio Bahamondes,190.5,70.31,28.0,1997-08-27,male,lightweight,190.5,orthodox,freestyle,valle flow striking,chile
4001837,Rizvan Kuniev,193.04,119.75,33.0,1992-03-10,male,heavyweight,193.04,orthodox,,gorets,russia
3897242,Nikolas Motta,175.26,70.31,32.0,1993-02-08,male,lightweight,177.8,orthodox,kickboxing,xtreme couture,usa
5144006,Bogdan Grad,172.72,66.22,30.0,1995-09-28,male,featherweight,177.8,orthodox,,ettl bros mma,austria
4900808,Oban Elliott,182.88,77.11,27.0,1997-12-19,male,welterweight,182.88,orthodox,mixed martial artist,shore mixed martial arts centre of excellence,wales
4684474,Cody Brundage,182.88,91.63,31.0,1994-05-16,male,lightheavyweight,182.88,orthodox,wrestling,factoryx muay thai,usa
5144320,Cameron Smotherman,175.26,61.69,28.0,1997-09-17,male,bantamweight,175.26,orthodox,,metro fight club,usa
4875506,Ange Loosa,177.8,77.56,32.0,1993-03-18,male,welterweight,187.96,orthodox,kickboxing,kill cliff fc,democratic republic of congo
4683395,Vanessa Demopoulos,157.48,57.15,37.0,1988-09-22,male,womens-flyweight,149.86,orthodox,jiu-jitsu,xtreme couture,usa
4205093,Sean O'Malley,180.34,61.23,30.0,1994-10-24,male,bantamweight,182.88,switch,striker,red hawk academy,usa
3943695,Kevin Holland,190.5,77.11,32.0,1992-11-05,male,welterweight,205.74,orthodox,kung fu,travis lutter bjj,usa
4738749,Andreas Gustafsson,185.42,77.56,34.0,1991-02-20,male,welterweight,186.69,orthodox,,vasteras fight club,sweden
4691323,Bruno Lopes,187.96,93.44,32.0,1993-04-24,male,lightheavyweight,187.96,orthodox,,011 mma team,brazil
3020408,Allan Nascimento,172.72,57.61,34.0,1991-09-11,male,flyweight,175.26,orthodox,brazilian jiu-jitsu,chute boxe,brazil
4686565,Jordan Leavitt,175.26,70.31,30.0,1995-06-02,male,lightweight,180.34,southpaw,freestyle,syndicate mma,usa
4869426,Michael Morales,182.88,77.11,26.0,1999-06-24,male,welterweight,200.66,orthodox,striker,entram gym,ecuador
3955778,Thiago Moises,175.26,70.31,30.0,1995-03-23,male,lightweight,179.07,orthodox,mixed martial artist,american top team,brazil
5044438,Connor Matthews,172.72,65.77,33.0,1992-05-31,male,featherweight,180.34,switch,mixed martial artist,new england cartel,usa
3249894,Carlos Hernandez,172.72,57.15,31.0,1993-10-25,male,flyweight,170.18,orthodox,freestyle,valle flow striking,usa
4689229,Luana Pinheiro,157.48,52.16,32.0,1992-11-18,female,womens-strawweight,158.75,orthodox,judo,ufc gym huntington beach,brazil
4828707,Jack Della Maddalena,180.34,77.11,29.0,1996-09-10,male,welterweight,185.42,switch,mixed martial artist,scrappy mma,australia
5061870,Bo Nickal,185.42,83.91,29.0,1996-01-14,male,middleweight,193.04,southpaw,wrestling,american top team,usa
5088886,Daniel Marcos,170.18,61.23,32.0,1993-03-07,male,bantamweight,175.26,orthodox,mixed martial artist,american combat gym,peru
5146229,Serhiy Sidey,180.34,61.23,29.0,1996-07-04,male,bantamweight,182.88,switch,freestyle,burlington training centre,ukraine
4249193,Don'Tale Mayes,198.12,117.93,33.0,1992-01-16,male,heavyweight,205.74,orthodox,boxing,jackson-wink mma,usa
2989380,Jimmy Flick,170.18,57.15,35.0,1990-09-07,male,flyweight,172.72,orthodox,brazilian jiu-jitsu,forza combat sports,usa
4063869,John Castaneda,167.64,66.22,33.0,1991-12-18,male,featherweight,180.34,switch,mixed martial artist,the academy mn,usa
5077399,Cameron Saaiman,172.72,61.23,24.0,2000-12-20,male,bantamweight,170.18,southpaw,mixed martial artist,team cit,south africa
4881999,Diego Lopes,180.34,66.22,30.0,1994-12-30,male,featherweight,184.15,orthodox,brazilian jiu-jitsu,lobo gym mma,brazil
4566991,Sean Woodson,187.96,66.22,33.0,1992-06-07,male,featherweight,198.12,orthodox,freestyle,wolves den training center,usa
4354421,Chase Hooper,185.42,70.31,26.0,1999-09-13,male,lightweight,187.96,southpaw,brazilian jiu-jitsu,combat sport and fitness,usa
3955577,Julian Erosa,185.42,65.77,36.0,1989-07-31,male,featherweight,189.23,southpaw,striker,xtreme couture,usa
5138111,Marco Tulio,182.88,84.37,31.0,1994-06-13,male,middleweight,189.23,orthodox,,chute boxe - diego lima,brazil
4374742,Hailey Cowan,172.72,61.69,33.0,1992-02-12,female,womens-bantamweight,170.18,southpaw,freestyle,blitz sport mma,usa
4422355,Joanderson Brito,172.72,66.22,30.0,1995-02-11,male,featherweight,182.88,orthodox,striker,chute boxe - joao emilio,brazil
5153082,Daniel Frunza,185.42,77.11,31.0,1994-04-13,male,welterweight,185.42,orthodox,,black house santiago,romania
3936279,Pedro Falcão,167.64,61.69,33.0,1992-07-30,male,bantamweight,167.64,orthodox,mixed martial artist,nova uniao ,brazil
5139556,Talita Alencar,154.94,52.16,34.0,1990-10-17,female,womens-strawweight,147.32,orthodox,grappling,fight sports deerfield beach,brazil
4396359,CJ Vergara,167.64,57.15,34.0,1991-06-18,male,flyweight,172.72,orthodox,mixed martial artist,pete spratt muay thai,usa
4349153,Vince Morales,170.18,61.69,34.0,1990-11-12,male,bantamweight,177.8,orthodox,striker,syndicate mma,usa
4875505,Saimon Oliveira,162.56,61.23,34.0,1991-04-21,male,bantamweight,182.88,orthodox,striker,astra fight team,brazil
5218421,Ateba Gautier,193.04,83.91,23.0,2002-04-10,male,middleweight,205.74,switch,,manchester top team,cameroon
4686723,Julia Polastri,157.48,52.62,27.0,1998-03-05,female,womens-strawweight,160.02,orthodox,striker,cwb fighter,brazil
4695736,Carlos Ulberg,193.04,92.99,34.0,1990-11-07,male,lightheavyweight,195.58,orthodox,kickboxing,city kickboxing,new zealand
5060505,Mick Parkin,193.04,117.93,29.0,1995-10-02,male,heavyweight,200.66,orthodox,mixed martial artist,team fish tank,england
3019246,Kurt Holobaugh,180.34,70.76,39.0,1986-09-08,male,lightweight,177.8,orthodox,brazilian jiu-jitsu,gracie united,usa
3887606,Ryan Spann,195.58,114.31,34.0,1991-08-24,male,heavyweight,200.66,orthodox,brazilian jiu-jitsu,fortis mma,usa
4685730,AJ Cunningham,177.8,61.69,31.0,1994-09-07,male,bantamweight,180.34,orthodox,mixed martial artist,law school mma,usa
5157669,Andre Lima,170.18,57.15,26.0,1999-02-04,male,flyweight,170.18,orthodox,kickboxing,team lucas mineiro,brazil
5172179,Carli Judice,170.18,56.7,26.0,1999-03-02,female,womens-flyweight,172.72,southpaw,,headkicks mma,usa
4894791,Armen Petrosyan,190.5,84.37,34.0,1990-11-03,male,middleweight,180.34,orthodox,muay thai,academy mma,armenia
5060394,Francis Marshall,175.26,66.22,26.0,1999-03-03,male,featherweight,182.88,orthodox,freestyle,american top team,usa
4077475,Julian Marquez,187.96,84.37,35.0,1990-05-08,male,middleweight,182.88,orthodox,jiu-jitsu,mma lab,usa
5088916,Sam Patterson,190.5,77.11,29.0,1996-04-30,male,welterweight,198.12,orthodox,mixed martial artist,team crossface,england
4863328,Lucas Almeida,180.34,67.13,34.0,1991-01-31,male,featherweight,180.34,orthodox,striker,mma sorocaba,brazil
4686734,Melsik Baghdasaryan,175.26,65.77,33.0,1992-01-28,male,featherweight,177.8,southpaw,mixed martial artist,glendale fighting club,armenia
4684240,Ibo Aslan,190.5,92.53,29.0,1996-04-23,male,lightheavyweight,196.85,orthodox,striker,gym 23,turkey
4867357,Javid Basharat,175.26,61.69,30.0,1995-09-07,male,bantamweight,175.26,orthodox,mixed martial artist,american top team,afghanistan
5032015,Dylan Budka,182.88,84.37,25.0,2000-01-14,male,middleweight,190.5,switch,freestyle,demolition fight team,usa
5074130,Nazim Sadykhov,177.8,70.31,31.0,1994-05-16,male,lightweight,175.26,southpaw,freestyle,serra-longo fight team ,azerbaijan
5074274,Jesus Aguilar,162.56,57.15,29.0,1996-03-13,male,flyweight,158.75,orthodox,freestyle,entram gym,mexico
5144797,Elijah Smith,175.26,61.69,23.0,2002-09-05,male,bantamweight,180.34,orthodox,,team victory,usa
4394200,Bruna Brasil,167.64,56.7,32.0,1993-09-07,female,womens-strawweight,166.37,orthodox,mixed martial artist,fighting nerds,brazil
5212351,Kody Steele,175.26,70.76,30.0,1995-04-21,male,lightweight,180.34,orthodox,,syndicate mma,usa
4371001,Mayra Bueno Silva,167.64,57.15,34.0,1991-08-22,female,womens-bantamweight,168.91,orthodox,striker,american top team,brazil
4565641,Jamal Pogues,190.5,119.75,29.0,1995-12-01,male,heavyweight,195.58,orthodox,boxing,syndicate mma,usa
4425355,Jamahal Hill,193.04,93.44,34.0,1991-05-19,male,lightheavyweight,200.66,southpaw,mixed martial artist,black lion jiu-jitsu,usa
3960072,Muin Gafurov,170.18,61.69,29.0,1996-05-17,male,bantamweight,172.72,orthodox,brazilian jiu-jitsu,syndicate mma,tajikistan
5120304,Austin Bashi,167.64,65.77,24.0,2001-09-29,male,featherweight,177.8,orthodox,,warrior way martial arts,usa
4685870,Uros Medic,185.42,77.56,32.0,1993-04-25,male,welterweight,180.34,southpaw,mixed martial artist,kings mma,serbia
4873642,Ihor Potieria,190.5,85.28,29.0,1996-05-29,male,middleweight,190.5,southpaw,mixed martial artist,aurum sport club,ukraine
5060398,Viktoriia Dudakova,165.1,52.62,26.0,1999-01-26,female,womens-strawweight,170.18,orthodox,mixed martial artist,cobrinha brazilian jiu-jitsu & fitness,russia
4423876,Joe Solecki,175.26,70.31,32.0,1993-08-27,male,lightweight,179.07,orthodox,mixed martial artist,salty dog jiu jitsu,usa
3900088,Billy Quarantillo,177.8,66.22,36.0,1988-12-08,male,featherweight,177.8,orthodox,mixed martial artist,gracie tampa south,usa
2594871,Dustin Jacoby,190.5,92.99,37.0,1988-04-04,male,lightheavyweight,193.04,orthodox,striker,factoryx muay thai,usa
4816066,Piera Rodriguez,160.02,52.62,32.0,1992-11-11,female,womens-strawweight,161.29,orthodox,striker,xtreme couture,venezuela
3309918,Karine Silva,165.1,56.7,31.0,1993-12-02,female,womens-flyweight,170.18,orthodox,brazilian jiu-jitsu,fighting nerds,brazil
5075748,James Llontop,182.88,75.3,26.0,1999-08-02,male,lightweight,185.42,orthodox,striker,team ffc,peru
5145497,Jhonata Diniz,193.04,115.21,34.0,1991-06-23,male,heavyweight,201.93,orthodox,kickboxing,santa fe team,brazil
4775129,Cortavious Romious,162.56,63.05,31.0,1994-01-06,male,bantamweight,172.72,southpaw,mixed martial artist,pura vida bjj,usa
3955820,Antonio Trocoli,195.58,84.37,34.0,1990-12-06,male,middleweight,203.2,orthodox,muay thai,full house mma,brazil
4426192,Rodrigo Nascimento,187.96,119.75,32.0,1992-11-26,male,heavyweight,203.2,orthodox,brazilian jiu-jitsu,american top team,brazil
4074001,Dan Ige,170.18,65.77,34.0,1991-08-06,male,featherweight,180.34,orthodox,wrestling,xtreme couture,usa
5077131,Brunno Ferreira,177.8,84.37,32.0,1992-11-04,male,middleweight,182.88,orthodox,grappling,brazilian tko,brazil
4293183,Victor Hugo,170.18,65.77,32.0,1992-11-22,male,featherweight,181.61,orthodox,striker,astra fight team,brazil
4237015,Kyler Phillips,172.72,61.23,30.0,1995-06-12,male,bantamweight,182.88,orthodox,nikidokai,mma lab,usa
5147552,Heraldo Souza,180.34,83.91,30.0,1994-12-15,male,middleweight,185.42,orthodox,,evolucao thai,brazil
5195917,Nick Piccininni,167.64,56.7,28.0,1996-12-16,male,flyweight,167.64,orthodox,,fortis mma,usa
5223853,Leslie Hernandez,160.02,52.62,27.0,1997-12-29,female,womens-strawweight,163.83,orthodox,,mma lab,usa
5236142,Jonathan Micallef,182.88,77.11,26.0,1999-03-05,male,welterweight,195.58,southpaw,,combat 1 mma,australia
4565671,Cory McKenna,160.02,52.16,26.0,1999-07-11,female,womens-strawweight,148.59,orthodox,mixed martial artist,team alpha male,wales
5001014,Cody Haddon,170.18,61.23,27.0,1998-09-08,male,bantamweight,175.26,orthodox,mixed martial artist,luistro combat academy,australia
5146278,Lucas Rocha,160.02,56.7,25.0,2000-08-12,male,flyweight,162.56,orthodox,muay thai,renovacao coari team,brazil
5217935,Artem Vakhitov,185.42,92.99,34.0,1991-04-04,male,lightheavyweight,190.5,orthodox,,kuzbass muay thai federation,russia
5193167,Chasen Blair,177.8,70.76,26.0,1998-10-14,male,lightweight,180.34,orthodox,,mma fight academy,usa
5218814,Anthony Drilich,165.1,57.15,31.0,1994-03-17,male,flyweight,165.1,southpaw,,drilich combat academy,australia
5081274,Bartosz Szewczyk,193.04,92.99,28.0,1997-09-18,male,lightheavyweight,185.42,orthodox,,ankos mma,poland
5125484,Carlos Calderon,180.34,65.77,29.0,1996-02-10,male,featherweight,180.34,southpaw,,havoc mma,usa
5235875,Xavier Franklin,167.64,61.23,29.0,1995-10-15,male,bantamweight,167.64,southpaw,,george's mma & boxing gym,usa
5130607,Abdellah Er-Ramy,182.88,83.91,29.0,1996-09-19,male,middleweight,187.96,orthodox,,rebel pride gym,spain
5150152,Christien Savoie,180.34,77.11,33.0,1992-08-29,male,welterweight,182.88,orthodox,,house of champions,canada
4354423,Roosevelt Roberts,187.96,70.31,31.0,1994-02-11,male,lightweight,185.42,orthodox,jiu-jitsu,kill cliff fc,usa
4713584,Victor Altamirano,172.72,57.15,34.0,1991-01-23,male,flyweight,177.8,switch,striker,double five mid-cities,mexico
5216851,Danylo Voievodkin,193.04,119.29,25.0,2000-07-19,male,heavyweight,198.12,southpaw,,kratos,ukraine
4082400,Vadym Kutsyi,182.88,77.56,34.0,1991-07-18,male,welterweight,180.34,orthodox,,academy mma,belarus
5220883,Francesco Mazzeo,190.5,93.44,28.0,1997-09-23,male,lightheavyweight,190.5,orthodox,,mma fight academy,italy
5222338,Cam Teague,177.8,65.77,27.0,1998-02-13,male,featherweight,175.26,orthodox,,port city combat sports,usa
5142277,Rose Conceição,165.1,51.71,28.0,1997-05-13,female,womens-strawweight,165.1,orthodox,,pitbull brothers,brazil
